neighborhood,population
acton,6522
adams-normandie,17596
agoura-hills,20324
agua-dulce,3130
alhambra,85961
alondra-park,8604
altadena,42680
angeles-crest,1175
arcadia,52951
arleta,31068
arlington-heights,22096
artesia,16380
athens,9101
atwater-village,14888
avalon,3181
avocado-heights,17415
azusa,44384
baldwin-hillscrenshaw,30123
baldwin-park,75753
bel-air,7691
bell,36667
bellflower,72829
bell-gardens,44054
beverly-crest,10852
beverly-grove,21417
beverly-hills,33829
beverlywood,6080
boyle-heights,92756
bradbury,1268
brentwood,31344
broadway-manchester,23471
burbank,100316
calabasas,23130
canoga-park,53227
carson,89549
carthay,4866
castaic,16843
castaic-canyons,7757
central-alameda,40947
century-city,5513
cerritos,51831
charter-oak,9046
chatsworth,35073
chatsworth-reservoir,-1
chesterfield-square,6062
cheviot-hills,6945
chinatown,9610
citrus,11964
claremont,35397
commerce,12583
compton,94384
covina,50954
cudahy,24208
culver-city,38816
cypress-park,9764
del-aire,9039
del-rey,28010
desert-view-highlands,2287
diamond-bar,56784
downey,107323
downtown,27849
duarte,21486
eagle-rock,32493
east-compton,13802
east-hollywood,73967
east-la-mirada,9442
east-los-angeles,125897
east-pasadena,6045
east-san-gabriel,22171
echo-park,40455
elizabeth-lake,1379
el-monte,116249
el-segundo,15970
el-sereno,40954
elysian-park,2530
elysian-valley,7387
encino,41905
exposition-park,31062
fairfax,12490
florence,43815
florence-firestone,60154
gardena,57818
glassell-park,23467
glendale,195047
glendora,50177
gramercy-park,10047
granada-hills,50535
green-meadows,28381
green-valley,754
griffith-park,-1
hacienda-heights,53525
hancock-park,9804
hansen-dam,-1
harbor-city,23561
harbor-gateway,39688
harvard-heights,18587
harvard-park,10297
hasley-canyon,423
hawaiian-gardens,14915
hawthorne,86265
hermosa-beach,18442
hidden-hills,1875
highland-park,57566
historic-south-central,49728
hollywood,77818
hollywood-hills,21588
hollywood-hills-west,14860
huntington-park,61370
hyde-park,36635
industry,1008
inglewood,112482
irwindale,1472
jefferson-park,23130
koreatown,115070
la-canada-flintridge,20381
la-crescenta-montrose,18507
ladera-heights,6509
la-habra-heights,6094
lake-balboa,24238
lake-hughes,571
lake-los-angeles,11141
lake-view-terrace,11803
lakewood,79412
la-mirada,46782
lancaster,120783
la-puente,41009
larchmont,8631
la-verne,33117
lawndale,31729
leimert-park,11782
lennox,22950
leona-valley,1374
lincoln-heights,26616
littlerock,1388
lomita,19984
long-beach,462731
lopezkagel-canyons,697
los-feliz,35238
lynwood,69899
malibu,12514
manchester-square,11594
manhattan-beach,34039
marina-del-rey,8302
mar-vista,35492
mayflower-village,11649
maywood,28083
mid-city,52197
mid-wilshire,41683
mission-hills,18237
monrovia,36817
montebello,61960
montecito-heights,16768
monterey-park,59933
mount-washington,12728
northeast-antelope-valley,4550
north-el-monte,3703
north-hills,53095
north-hollywood,77848
northridge,57561
northwest-antelope-valley,3343
northwest-palmdale,3125
north-whittier,4351
norwalk,103223
pacific-palisades,23940
pacoima,75014
palmdale,117432
palms,42545
palos-verdes-estates,13340
panorama-city,65766
paramount,55319
pasadena,134941
pico-rivera,63151
pico-robertson,18019
pico-union,42324
playa-del-rey,9755
playa-vista,2416
pomona,150269
porter-ranch,24923
quartz-hill,9351
ramona,4053
rancho-dominguez,2526
rancho-palos-verdes,41301
rancho-park,4295
redondo-beach,63261
reseda,62174
ridge-route,1951
rolling-hills,3218
rolling-hills-estates,8334
rosemead,53280
rowland-heights,47524
san-dimas,35064
san-fernando,23534
san-gabriel,39306
san-marino,12973
san-pasqual,2082
san-pedro,80065
santa-clarita,157447
santa-fe-springs,17834
santa-monica,84084
sawtelle,35844
sepulveda-basin,-1
shadow-hills,13098
sherman-oaks,61166
sierra-madre,10578
signal-hill,9273
silver-lake,30972
south-diamond-bar,-1
southeast-antelope-valley,5271
south-el-monte,20935
south-gate,96418
south-park,30496
south-pasadena,24303
south-san-gabriel,8100
south-san-jose-hills,20257
south-whittier,55285
stevenson-ranch,8609
studio-city,34034
sunland,15316
sun-valley,75848
sun-village,9375
sylmar,69499
tarzana,35502
temple-city,33296
toluca-lake,7782
topanga,7425
torrance,137933
tujunga,26527
tujunga-canyons,2474
unincorporated-catalina-island,139
unincorporated-santa-monica-mountains,8929
unincorporated-santa-susana-mountains,4525
universal-city,-1
university-park,23596
valinda,21568
valley-glen,59230
valley-village,24190
val-verde,1888
van-nuys,103770
venice,37705
vermont-knolls,20616
vermont-slauson,26797
vermont-square,45284
vermont-vista,23291
vernon,94
veterans-administration,622
view-park-windsor-hills,11066
vincent,15032
walnut,30004
walnut-park,16180
watts,36815
west-adams,21764
west-carson,21010
westchester,41500
west-compton,5444
west-covina,104893
west-hills,38814
west-hollywood,35716
westlake,103839
westlake-village,8663
west-los-angeles,12659
westmont,31467
west-puente-valley,23866
west-san-dimas,309
west-whittier-los-nietos,25880
westwood,47916
whittier,83838
whittier-narrows,-1
willowbrook,34336
wilmington,51517
windsor-square,5642
winnetka,46943
woodland-hills,59661